# VITESS 3.7  Trajectories module EventsOut 1.15  VITESS-Format
# 2026-04-09 15:06:53  
# VITESS simulation   
#    TOF    lambda   count_rate    pos_x     pos_y    pos_z     dir_x     dir_y     dir_z  
   7.78006  0.77139   1.093e-20    -0.2336  -0.4334  -0.0875  -0.999267 -0.033666  0.018218
  29.62754  2.93752   8.710e-13    -0.3704  -0.0647   0.3295  -0.655821 -0.062281  0.752343
  26.01102  2.57912   7.027e-13    -0.1142  -0.2022  -0.4428  -0.771968  0.322242 -0.547928
  30.74535  3.04863   4.769e-14     0.0100   0.4330   0.2499   0.964709 -0.072229  0.253220
  30.74086  3.04789   3.412e-13     0.3887  -0.1160  -0.2923   0.615807 -0.702614  0.356531
  31.79315  3.15232   4.984e-13    -0.2770   0.0665  -0.4109  -0.764533  0.183721 -0.617848
  43.20530  4.28362   4.336e-14     0.4945   0.0225   0.0703   0.968061  0.203841  0.145967
  39.53884  3.92019   8.116e-14     0.3405   0.0489  -0.3629   0.628402 -0.102388 -0.771121
  22.86886  2.26740   1.090e-12     0.3956   0.1310   0.2763   0.979957 -0.012101  0.198842
  28.97880  2.87265   2.209e-13    -0.3883   0.3149  -0.0087  -0.848840  0.461941  0.257063
  20.76938  2.05924   2.530e-12    -0.4000   0.2993   0.0210  -0.979131  0.200894  0.030738
  38.79458  3.84638   8.111e-14    -0.3953   0.2985   0.0683  -0.987165 -0.053135  0.150603
   9.22805  0.91491   7.053e-12     0.4896  -0.0335   0.0960   0.829711 -0.507269 -0.232933
  41.65218  4.12945   4.626e-14    -0.1234   0.4843  -0.0164  -0.131592  0.984056 -0.119652
  19.50968  1.93439   3.081e-12    -0.0550  -0.4970  -0.0034  -0.050609 -0.913134  0.404506
  40.20205  3.98563   4.671e-14     0.2199  -0.3527  -0.2780   0.085577 -0.918247 -0.386651
  14.61553  1.44921   3.845e-12    -0.0962  -0.4455  -0.2055  -0.759563 -0.096101 -0.643295
  29.10194  2.88537   4.633e-13     0.1563   0.4743   0.0247   0.917126  0.210503  0.338480
  29.70177  2.94479   4.373e-13     0.0939   0.1821  -0.4561   0.326628  0.733449 -0.596127
  39.94028  3.95963   3.725e-14    -0.1076   0.4865  -0.0419  -0.118810  0.878834  0.462099
  20.19179  2.00195   3.614e-12    -0.4102   0.2851  -0.0198  -0.653935 -0.753153  0.071618
  25.83068  2.56103   9.453e-13    -0.4410   0.1289   0.1971  -0.963529  0.132916 -0.232261
  43.56585  4.31961   5.220e-14    -0.0923   0.4912  -0.0136  -0.824635  0.467035  0.319148
  34.20977  3.39197   1.647e-13     0.0596  -0.4952  -0.0353   0.058799 -0.373568 -0.925737
  14.30737  1.41852   8.037e-12    -0.4499   0.2019  -0.0828  -0.925682  0.259373 -0.275387
  27.58081  2.73440   4.298e-13    -0.1778  -0.4364  -0.1671  -0.941418 -0.281360 -0.185925
  30.68148  3.04206   3.620e-13     0.3352   0.2534  -0.2710   0.954641 -0.013078 -0.297471
  38.78315  3.84523   7.138e-14     0.4176   0.1264   0.2442   0.916160 -0.367597 -0.159758
  39.30951  3.89748   5.353e-14    -0.1671   0.4046  -0.2417  -0.999995 -0.003049 -0.001233
  30.00959  2.97567   1.204e-13     0.0080   0.3402   0.3664  -0.101143  0.589347  0.801524
  14.31446  1.41918   8.140e-12    -0.0068  -0.2840  -0.4115   0.388859 -0.408244 -0.825909
  21.10900  2.09279   1.062e-12     0.4061   0.1503   0.2500   0.617898 -0.476801  0.625190
  30.99770  3.07346   3.068e-13    -0.1196  -0.3739   0.3097   0.187812  0.439325  0.878476
  31.07179  3.08087   3.479e-13     0.1641  -0.1540   0.4465   0.597744  0.129592  0.791143
  28.06624  2.78249   4.196e-13    -0.4617  -0.1881   0.0385  -0.974076 -0.221159  0.047593
  35.89839  3.55894   1.987e-13    -0.2487  -0.1214  -0.4164   0.133814 -0.512929 -0.847937
  27.47516  2.72413   7.453e-13    -0.3359  -0.1870   0.3197  -0.904381 -0.426664 -0.007234
  44.74090  4.43597   3.477e-14     0.3789  -0.0918   0.3130   0.903880  0.314179 -0.290330
  11.50295  1.14052   8.081e-12    -0.3295   0.0589   0.3714  -0.943220  0.147151 -0.297796
  26.07739  2.58553   9.478e-13    -0.2857   0.4020   0.0823  -0.395100  0.406333 -0.823887
  22.77024  2.25758   1.208e-12     0.4429  -0.2321   0.0024   0.780956 -0.220571 -0.584342
  29.58990  2.93369   9.532e-13    -0.4979  -0.0264  -0.0373  -0.739589 -0.324565 -0.589632
  10.25296  1.01645   7.787e-12    -0.3027  -0.3117  -0.2473  -0.988841 -0.142410 -0.043746
  43.69629  4.33262   5.385e-14     0.0456   0.4847  -0.1141  -0.587241  0.797574  0.137925
  18.16136  1.80063   1.066e-13     0.4329   0.2449  -0.0512   0.894789  0.263032  0.360785
  44.84666  4.44616   3.965e-14     0.3843   0.0829  -0.3089   0.990442  0.136294  0.021164
  14.90667  1.47798   6.327e-12     0.3529   0.1037  -0.3387   0.596331  0.489129 -0.636508
  30.76229  3.04999   1.891e-13    -0.2260  -0.4422  -0.0582  -0.996027  0.081592  0.035675
  35.61497  3.53113   1.276e-13    -0.1488  -0.4672  -0.0979  -0.902583 -0.429622  0.027717
  15.13974  1.50111   7.650e-12    -0.2268  -0.2294   0.3820  -0.400958  0.014354  0.915984
  13.09063  1.29790   3.232e-15    -0.2038   0.3431  -0.3013  -0.372218  0.739976 -0.560258
  33.66017  3.33689   1.116e-13    -0.3680   0.0277  -0.3374  -0.854366  0.052030 -0.517060
